exam_score,test_score,assignment_score,practical_score,final_score,performance_category,pass_fail
44.1,7.3,7.1,10.4,70.1,Good,Pass
32.7,6.2,4.5,10.9,57.1,Average,Pass
21.0,6.0,6.9,10.6,47.8,At Risk,Fail
22.6,4.4,7.0,9.9,45.2,At Risk,Fail
24.9,3.5,7.0,15.8,48.5,At Risk,Fail
40.2,6.1,8.9,14.4,70.0,Good,Pass
36.3,6.6,5.7,13.8,66.8,Good,Pass
42.3,4.6,6.2,6.3,57.6,Average,Pass
30.2,6.4,4.1,19.4,59.9,Average,Pass
36.5,6.6,6.6,11.1,63.6,Average,Pass
41.6,3.3,6.7,19.3,72.1,Good,Pass
31.5,5.1,6.6,9.5,57.7,Average,Pass
39.7,7.1,8.5,11.3,65.2,Good,Pass
27.7,7.1,8.2,7.4,48.4,At Risk,Fail
30.9,4.8,7.3,14.6,60.0,Average,Pass
30.7,6.7,6.8,10.5,52.3,Average,Pass
21.9,8.0,8.4,10.6,48.6,At Risk,Fail
40.1,7.7,7.2,9.8,64.5,Average,Pass
29.7,6.4,6.2,15.8,60.2,Average,Pass
34.9,5.8,5.1,15.6,62.7,Average,Pass
40.0,5.6,6.7,18.7,71.8,Good,Pass
39.6,7.2,8.1,11.7,65.8,Good,Pass
42.0,6.8,9.9,14.2,75.4,Good,Pass
33.7,7.4,7.3,10.0,66.5,Good,Pass
30.2,6.7,6.3,12.7,57.3,Average,Pass
33.9,7.7,5.8,12.1,59.8,Average,Pass
16.6,6.6,7.9,14.9,43.4,At Risk,Fail
19.2,7.7,5.1,16.4,47.1,At Risk,Fail
20.5,7.8,7.9,16.4,52.1,Average,Pass
24.0,5.3,8.2,11.2,47.7,At Risk,Fail
39.1,3.8,7.7,16.4,67.0,Good,Pass
25.0,8.8,6.9,13.5,57.8,Average,Pass
30.7,6.9,7.9,12.7,60.7,Average,Pass
48.8,3.9,7.4,11.6,71.5,Good,Pass
31.0,5.4,6.3,12.0,52.3,Average,Pass
42.8,7.7,9.4,18.5,81.0,Excellent,Pass
24.7,6.1,6.8,14.5,51.9,Average,Pass
32.6,5.7,8.1,14.1,57.1,Average,Pass
24.5,8.6,4.3,12.9,51.7,Average,Pass
31.1,4.9,8.7,20.0,66.9,Good,Pass
43.9,5.3,9.0,17.3,70.5,Good,Pass
16.1,6.8,7.2,11.6,40.1,At Risk,Fail
39.5,7.1,7.9,12.8,67.1,Good,Pass
37.4,7.2,7.9,13.0,67.0,Good,Pass
28.4,7.9,6.4,14.0,55.7,Average,Pass
19.2,6.8,7.9,11.6,43.8,At Risk,Fail
35.6,7.2,6.2,14.8,65.3,Good,Pass
29.1,6.1,6.5,17.7,58.4,Average,Pass
37.3,6.6,8.6,9.9,63.5,Average,Pass
35.0,6.7,8.4,10.4,58.3,Average,Pass
52.1,6.8,6.4,12.2,74.8,Good,Pass
32.2,7.7,6.3,12.4,60.1,Average,Pass
23.7,7.3,6.4,19.2,57.2,Average,Pass
36.7,6.6,8.1,16.4,69.6,Good,Pass
37.2,5.3,6.0,16.2,63.6,Average,Pass
49.5,6.6,7.6,12.9,75.0,Good,Pass
43.8,6.5,8.1,12.8,73.9,Good,Pass
38.7,6.8,7.1,9.5,59.0,Average,Pass
50.6,9.8,8.4,15.8,87.1,Excellent,Pass
22.0,5.7,6.8,15.0,52.1,Average,Pass
27.9,7.1,6.9,17.2,60.9,Average,Pass
24.8,8.1,6.0,13.0,50.6,Average,Pass
30.6,6.6,8.4,13.2,57.2,Average,Pass
19.9,10.0,6.3,14.1,49.9,At Risk,Fail
41.7,5.9,7.6,16.1,68.7,Good,Pass
32.4,7.0,7.1,9.5,54.1,Average,Pass
18.9,5.3,5.9,15.7,47.1,At Risk,Fail
23.8,6.0,6.5,13.5,51.1,Average,Pass
38.2,6.9,8.9,10.6,62.5,Average,Pass
43.9,7.8,7.4,7.8,68.2,Good,Pass
56.4,7.0,6.0,13.2,83.5,Excellent,Pass
60.0,8.4,7.6,17.7,96.6,Excellent,Pass
39.3,6.4,7.0,18.3,72.1,Good,Pass
24.1,6.0,10.0,14.6,56.8,Average,Pass
11.8,10.0,7.5,19.1,49.4,At Risk,Fail
37.7,7.1,6.7,13.5,67.0,Good,Pass
26.0,5.4,8.9,16.3,54.0,Average,Pass
30.3,5.5,5.0,12.3,52.9,Average,Pass
28.2,5.1,7.3,12.2,52.7,Average,Pass
33.3,7.9,9.6,11.7,62.0,Average,Pass
46.3,6.0,7.1,7.8,68.0,Good,Pass
36.5,6.7,5.1,17.2,66.8,Good,Pass
33.1,6.4,6.7,11.8,58.8,Average,Pass
23.6,7.6,8.9,11.4,51.2,Average,Pass
16.7,5.2,7.7,10.3,38.4,At Risk,Fail
29.5,4.9,6.2,13.0,55.9,Average,Pass
34.2,6.8,6.4,18.5,66.7,Good,Pass
53.9,7.4,6.5,19.5,85.2,Excellent,Pass
36.2,7.0,7.6,8.9,59.4,Average,Pass
45.4,5.3,8.8,12.6,68.6,Good,Pass
29.4,7.5,8.5,10.7,56.2,Average,Pass
22.0,5.4,7.7,16.4,51.1,Average,Pass
24.4,5.7,5.6,14.4,48.9,At Risk,Fail
27.0,5.1,5.6,11.8,52.6,Average,Pass
57.8,8.5,7.8,13.8,85.6,Excellent,Pass
25.9,7.5,5.6,12.3,52.6,Average,Pass
43.9,7.4,6.9,18.1,80.7,Excellent,Pass
25.0,8.4,7.6,15.1,58.3,Average,Pass
44.9,10.0,5.8,15.5,76.1,Good,Pass
39.0,3.9,6.0,6.1,52.7,Average,Pass
33.1,5.4,7.1,13.4,56.3,Average,Pass
34.4,5.6,7.8,19.4,66.3,Good,Pass
27.7,5.2,8.5,17.3,57.4,Average,Pass
39.6,4.9,7.9,8.4,59.4,Average,Pass
29.9,6.1,7.3,12.7,55.3,Average,Pass
21.6,4.7,6.3,10.2,42.6,At Risk,Fail
21.0,7.0,5.9,18.4,53.3,Average,Pass
36.7,6.6,6.6,14.3,61.6,Average,Pass
51.9,7.2,7.7,11.5,76.9,Good,Pass
36.5,7.3,7.6,13.7,64.8,Average,Pass
33.5,7.4,4.7,6.3,51.5,Average,Pass
37.9,5.9,6.3,10.6,64.3,Average,Pass
48.9,9.7,8.6,13.7,81.4,Excellent,Pass
37.2,6.9,7.3,16.0,64.1,Average,Pass
30.4,3.7,5.5,8.2,48.6,At Risk,Fail
46.7,5.0,10.0,12.5,75.4,Good,Pass
39.4,3.9,7.2,16.4,66.7,Good,Pass
51.4,6.5,7.7,9.5,72.7,Good,Pass
36.8,6.3,7.7,14.2,68.5,Good,Pass
21.6,5.8,6.8,13.8,45.8,At Risk,Fail
20.0,9.5,6.3,18.4,55.6,Average,Pass
52.6,7.3,9.7,13.0,83.1,Excellent,Pass
53.4,7.6,8.4,13.1,83.7,Excellent,Pass
32.9,5.1,8.2,16.0,65.6,Good,Pass
30.7,5.0,7.9,9.9,54.6,Average,Pass
50.6,6.6,6.0,13.0,75.0,Good,Pass
22.8,6.8,8.7,12.3,52.9,Average,Pass
25.1,3.7,6.2,13.2,47.0,At Risk,Fail
41.7,6.2,7.5,16.0,71.8,Good,Pass
30.5,6.5,5.2,15.2,54.9,Average,Pass
34.7,6.2,4.8,11.5,55.1,Average,Pass
33.0,5.3,7.6,14.0,60.0,Average,Pass
38.4,5.7,6.2,17.8,68.9,Good,Pass
50.0,6.2,4.8,11.3,68.9,Good,Pass
35.8,6.6,7.8,14.0,65.3,Good,Pass
41.8,7.4,9.7,13.1,70.3,Good,Pass
12.7,8.1,8.9,13.4,45.6,At Risk,Fail
34.3,6.1,6.9,9.0,55.6,Average,Pass
25.7,5.8,7.2,17.6,54.0,Average,Pass
21.6,7.2,8.3,11.4,48.6,At Risk,Fail
25.3,7.4,8.5,16.5,55.9,Average,Pass
31.2,5.8,6.8,11.9,58.2,Average,Pass
44.7,7.7,7.2,11.8,71.5,Good,Pass
20.5,8.0,7.6,17.0,52.7,Average,Pass
35.1,8.4,7.9,16.4,69.0,Good,Pass
29.6,9.2,7.0,14.2,58.0,Average,Pass
31.3,5.2,7.1,15.7,56.7,Average,Pass
45.6,6.5,8.9,12.8,74.6,Good,Pass
40.6,6.5,8.7,13.6,67.2,Good,Pass
49.2,6.4,7.8,11.7,72.9,Good,Pass
33.1,5.5,9.3,16.1,65.7,Good,Pass
27.3,4.3,6.7,11.7,51.0,Average,Pass
32.4,6.6,9.1,17.8,63.4,Average,Pass
37.4,5.3,7.9,12.7,62.1,Average,Pass
36.7,6.6,10.0,13.7,65.2,Good,Pass
23.1,5.3,5.8,15.7,53.4,Average,Pass
35.8,4.9,6.4,13.7,62.5,Average,Pass
37.3,6.9,7.7,12.8,63.7,Average,Pass
60.0,6.7,7.7,13.5,89.1,Excellent,Pass
55.1,7.4,9.5,16.1,85.4,Excellent,Pass
25.6,9.8,6.4,11.7,52.2,Average,Pass
31.7,6.9,8.3,13.2,60.4,Average,Pass
19.0,7.2,8.6,13.6,49.4,At Risk,Fail
28.4,4.9,8.0,16.0,57.2,Average,Pass
38.2,4.6,6.0,13.3,62.6,Average,Pass
47.8,8.9,8.9,18.7,84.4,Excellent,Pass
26.9,5.1,8.7,13.2,53.6,Average,Pass
27.7,4.9,7.9,12.9,52.9,Average,Pass
11.6,6.4,7.4,13.1,37.8,At Risk,Fail
33.0,6.4,7.5,9.9,57.3,Average,Pass
23.3,5.1,7.1,10.7,47.1,At Risk,Fail
29.1,6.0,8.0,12.1,55.6,Average,Pass
25.3,8.3,7.2,16.8,55.3,Average,Pass
33.8,5.3,6.2,13.5,56.8,Average,Pass
15.8,4.4,5.9,12.2,39.2,At Risk,Fail
19.0,7.9,6.3,17.0,53.1,Average,Pass
57.8,7.2,7.5,17.9,90.7,Excellent,Pass
20.9,5.6,7.2,17.1,49.9,At Risk,Fail
23.0,4.1,7.5,11.2,46.2,At Risk,Fail
54.6,5.4,7.8,12.2,77.8,Good,Pass
60.0,6.4,6.4,18.7,94.2,Excellent,Pass
22.1,8.2,9.0,14.3,54.0,Average,Pass
30.8,4.9,6.9,12.9,54.2,Average,Pass
38.5,6.4,6.7,15.6,66.8,Good,Pass
53.5,7.5,7.8,16.4,84.1,Excellent,Pass
24.1,2.9,5.0,12.0,46.7,At Risk,Fail
32.2,8.1,6.3,14.2,60.3,Average,Pass
43.2,4.7,8.4,16.2,72.8,Good,Pass
39.5,7.0,5.1,10.4,63.1,Average,Pass
30.7,6.9,8.5,13.6,58.3,Average,Pass
33.4,8.1,9.0,10.5,61.4,Average,Pass
20.0,7.3,6.8,10.8,45.4,At Risk,Fail
32.2,2.9,7.6,12.0,51.6,Average,Pass
31.9,5.3,8.5,14.9,61.2,Average,Pass
37.3,6.7,6.6,12.7,63.3,Average,Pass
28.8,6.2,8.2,11.8,55.3,Average,Pass
39.9,7.2,6.4,13.7,67.3,Good,Pass
45.7,7.7,6.6,10.4,71.0,Good,Pass
36.5,7.4,6.2,14.8,67.6,Good,Pass
38.6,6.2,7.6,16.8,66.8,Good,Pass
35.4,3.7,8.6,13.4,60.4,Average,Pass
34.8,5.8,7.0,13.0,62.0,Average,Pass
27.0,7.1,5.7,14.6,55.4,Average,Pass
38.2,4.9,5.9,7.9,57.8,Average,Pass
33.7,7.4,7.7,15.1,69.5,Good,Pass
57.4,7.9,9.4,20.0,95.9,Excellent,Pass
51.8,6.7,7.7,13.3,81.7,Excellent,Pass
39.0,1.9,6.7,13.3,60.3,Average,Pass
26.6,4.6,8.1,15.7,53.0,Average,Pass
22.8,9.3,6.9,18.2,56.6,Average,Pass
47.7,5.7,6.7,16.3,77.8,Good,Pass
37.6,3.5,6.0,7.6,55.6,Average,Pass
40.0,8.4,8.9,15.2,73.2,Good,Pass
16.0,6.5,4.2,20.0,46.2,At Risk,Fail
44.8,8.2,8.2,15.3,75.7,Good,Pass
39.7,6.9,6.6,10.4,63.3,Average,Pass
22.8,7.2,6.7,14.4,52.5,Average,Pass
29.7,7.0,9.2,10.0,57.7,Average,Pass
37.6,7.5,6.3,17.1,66.6,Good,Pass
35.4,9.9,6.4,10.9,64.1,Average,Pass
31.6,8.0,7.0,13.8,59.2,Average,Pass
33.7,4.1,7.7,11.2,57.6,Average,Pass
32.1,7.2,6.7,12.1,57.6,Average,Pass
36.4,8.2,5.3,17.8,70.9,Good,Pass
50.7,8.3,6.2,13.9,78.2,Good,Pass
7.1,5.9,8.7,12.0,34.1,At Risk,Fail
32.2,8.2,7.3,10.4,59.4,Average,Pass
36.7,7.9,7.7,8.4,59.0,Average,Pass
38.0,10.0,6.9,10.1,64.8,Average,Pass
30.8,5.4,6.4,13.9,55.9,Average,Pass
15.8,5.7,9.2,16.3,46.1,At Risk,Fail
38.3,6.0,7.0,12.0,62.5,Average,Pass
53.5,5.8,6.7,18.0,86.1,Excellent,Pass
18.2,5.2,8.5,11.6,42.3,At Risk,Fail
44.1,2.4,6.3,12.9,66.9,Good,Pass
31.3,5.8,6.5,10.6,54.8,Average,Pass
34.1,7.1,7.2,16.4,62.0,Average,Pass
23.4,5.8,7.2,19.5,56.9,Average,Pass
31.2,9.4,7.5,8.7,53.9,Average,Pass
48.8,6.5,9.7,12.6,79.0,Good,Pass
41.1,8.4,7.6,17.1,73.3,Good,Pass
53.5,6.9,4.3,9.5,74.3,Good,Pass
47.5,7.7,7.6,15.2,75.4,Good,Pass
39.5,6.9,7.2,17.0,71.0,Good,Pass
53.6,8.6,7.3,13.8,85.1,Excellent,Pass
39.5,6.6,7.5,15.1,67.1,Good,Pass
43.7,7.2,7.2,18.5,75.5,Good,Pass
31.6,7.0,7.1,19.1,65.7,Good,Pass
35.5,6.1,7.9,13.4,63.9,Average,Pass
27.3,7.1,6.5,12.1,48.2,At Risk,Fail
45.5,9.9,6.1,11.0,76.5,Good,Pass
22.1,6.1,10.0,16.3,55.6,Average,Pass
43.2,7.1,6.3,9.8,67.9,Good,Pass
32.7,8.4,7.3,12.9,61.1,Average,Pass
47.4,8.2,5.4,13.9,71.2,Good,Pass
42.9,6.5,7.3,12.2,70.3,Good,Pass
54.5,2.9,6.1,14.4,76.7,Good,Pass
42.7,7.3,6.7,20.0,77.7,Good,Pass
17.8,3.2,8.5,13.3,42.3,At Risk,Fail
34.1,8.7,7.8,12.4,63.4,Average,Pass
22.1,6.8,7.9,16.4,51.7,Average,Pass
29.2,8.0,5.1,14.3,58.3,Average,Pass
51.1,5.1,9.4,17.6,80.9,Excellent,Pass
41.7,4.2,5.8,14.1,70.2,Good,Pass
27.3,6.9,9.0,12.9,60.6,Average,Pass
23.9,6.4,8.4,8.6,50.6,Average,Pass
35.2,5.8,7.9,9.1,60.4,Average,Pass
21.7,6.6,6.2,8.5,42.8,At Risk,Fail
27.6,10.0,7.4,14.7,61.9,Average,Pass
38.2,7.8,6.6,9.8,62.1,Average,Pass
47.3,8.1,7.2,17.1,76.6,Good,Pass
41.4,7.8,6.9,13.7,72.7,Good,Pass
10.1,8.7,4.8,12.9,38.7,At Risk,Fail
38.1,6.2,8.5,11.2,64.0,Average,Pass
35.6,3.4,7.1,15.3,59.0,Average,Pass
39.3,6.2,6.6,11.3,62.3,Average,Pass
52.3,7.7,6.5,10.8,73.7,Good,Pass
12.5,5.0,7.6,16.9,44.0,At Risk,Fail
28.4,6.2,6.1,14.6,52.2,Average,Pass
41.2,5.5,4.5,12.9,64.7,Average,Pass
17.7,8.8,7.7,15.4,47.9,At Risk,Fail
50.7,7.6,7.8,13.6,77.0,Good,Pass
38.8,7.5,7.0,14.7,68.4,Good,Pass
43.9,7.4,5.8,11.3,67.8,Good,Pass
28.6,6.4,7.3,19.4,63.5,Average,Pass
43.6,6.8,5.4,12.0,65.3,Good,Pass
46.3,4.7,6.0,18.0,73.5,Good,Pass
37.3,3.2,6.3,13.1,55.1,Average,Pass
37.3,6.7,8.2,15.9,63.8,Average,Pass
37.7,7.0,6.8,15.7,70.7,Good,Pass
25.5,8.3,6.7,16.8,61.4,Average,Pass
33.2,8.9,9.5,11.2,63.0,Average,Pass
33.2,8.9,7.6,16.6,64.6,Average,Pass
38.9,5.0,7.6,18.8,69.7,Good,Pass
45.6,6.0,6.8,12.9,72.9,Good,Pass
23.4,7.2,6.5,13.7,49.7,At Risk,Fail
33.4,10.0,4.6,12.1,60.6,Average,Pass
50.8,8.7,8.4,12.6,80.5,Excellent,Pass
26.8,8.2,7.7,18.4,59.9,Average,Pass
25.9,5.9,7.0,10.8,48.6,At Risk,Fail
37.0,5.2,7.0,11.0,60.7,Average,Pass
43.9,7.7,8.1,18.1,75.8,Good,Pass
34.9,4.8,5.3,15.3,61.4,Average,Pass
49.2,6.1,6.5,19.5,80.4,Excellent,Pass
44.1,6.3,5.8,12.3,68.8,Good,Pass
43.9,8.9,9.3,14.0,78.8,Good,Pass
40.8,6.0,8.3,11.8,66.4,Good,Pass
59.9,2.8,4.6,14.0,83.2,Excellent,Pass
32.6,7.3,5.4,8.6,50.3,Average,Pass
13.2,5.5,7.0,15.5,40.2,At Risk,Fail
52.1,6.6,6.6,14.5,79.9,Good,Pass
29.9,6.4,5.6,13.4,59.1,Average,Pass
36.0,6.1,9.5,12.5,60.2,Average,Pass
48.9,7.7,7.6,11.1,75.1,Good,Pass
17.5,4.2,7.8,15.6,48.0,At Risk,Fail
21.3,5.7,6.4,10.3,42.1,At Risk,Fail
17.5,7.5,8.1,15.0,47.7,At Risk,Fail
26.2,5.6,6.7,19.4,58.6,Average,Pass
39.5,4.1,6.9,17.8,68.6,Good,Pass
40.5,7.5,7.9,9.4,68.4,Good,Pass
37.8,8.2,5.2,12.1,64.2,Average,Pass
19.5,6.4,9.1,14.8,52.5,Average,Pass
9.9,3.6,7.4,13.4,33.5,At Risk,Fail
35.4,7.6,8.7,9.7,59.9,Average,Pass
29.7,4.0,5.9,14.7,53.9,Average,Pass
39.8,7.0,6.1,13.6,64.1,Average,Pass
42.4,5.2,5.8,19.0,73.3,Good,Pass
36.3,4.8,7.5,12.9,60.7,Average,Pass
43.0,5.8,7.3,16.9,71.7,Good,Pass
37.3,6.2,6.6,10.1,61.2,Average,Pass
40.5,5.5,6.0,10.7,60.5,Average,Pass
27.2,7.4,5.7,15.6,57.4,Average,Pass
32.9,5.8,7.1,16.6,61.5,Average,Pass
36.9,8.0,6.6,10.9,64.8,Average,Pass
43.7,6.9,6.4,13.7,69.8,Good,Pass
30.5,5.5,9.1,9.7,56.1,Average,Pass
40.4,5.2,7.1,13.1,66.2,Good,Pass
31.9,4.0,8.7,15.9,62.1,Average,Pass
33.5,6.9,6.6,12.4,59.6,Average,Pass
43.8,6.0,7.5,12.9,66.8,Good,Pass
13.3,2.9,7.1,10.4,35.8,At Risk,Fail
20.8,5.7,5.2,11.8,43.3,At Risk,Fail
18.8,5.1,8.9,18.5,53.0,Average,Pass
9.6,8.9,7.0,13.8,40.7,At Risk,Fail
27.5,3.9,8.1,10.8,48.8,At Risk,Fail
42.9,4.3,6.3,12.7,64.4,Average,Pass
31.7,8.2,7.0,9.1,57.3,Average,Pass
36.9,8.5,6.2,10.8,61.8,Average,Pass
46.6,5.4,8.7,17.4,79.9,Good,Pass
49.1,5.6,7.6,13.2,75.1,Good,Pass
34.1,7.4,7.6,18.9,70.1,Good,Pass
49.4,3.0,8.8,13.3,75.4,Good,Pass
35.8,3.7,8.6,13.5,62.2,Average,Pass
25.8,6.1,8.1,15.4,54.6,Average,Pass
28.4,8.8,5.5,6.1,49.3,At Risk,Fail
18.8,5.8,6.4,14.2,47.6,At Risk,Fail
25.2,6.7,6.0,13.5,51.2,Average,Pass
30.9,8.2,8.1,17.8,66.0,Good,Pass
43.5,9.7,7.4,16.3,76.9,Good,Pass
53.4,5.6,5.5,10.4,75.2,Good,Pass
19.9,6.5,7.0,17.1,53.8,Average,Pass
39.0,9.2,5.4,12.9,69.0,Good,Pass
23.6,4.2,7.1,11.1,46.1,At Risk,Fail
39.9,8.0,5.2,14.2,67.8,Good,Pass
33.4,5.0,7.8,13.0,57.8,Average,Pass
15.0,6.7,7.7,17.9,46.9,At Risk,Fail
44.8,6.1,9.5,14.6,75.6,Good,Pass
28.3,5.1,8.2,14.2,57.4,Average,Pass
29.0,5.0,6.7,16.1,58.4,Average,Pass
23.2,6.9,8.2,16.7,52.8,Average,Pass
27.7,8.0,5.5,15.8,59.0,Average,Pass
39.4,6.3,6.0,17.6,69.2,Good,Pass
32.8,6.6,7.6,15.3,60.3,Average,Pass
38.3,7.4,4.6,14.1,67.1,Good,Pass
38.7,5.0,7.2,17.1,70.9,Good,Pass
49.1,7.6,6.0,13.3,76.5,Good,Pass
31.1,7.7,7.3,13.7,61.3,Average,Pass
18.8,10.0,5.9,18.4,54.7,Average,Pass
46.3,5.9,7.7,18.1,80.9,Excellent,Pass
31.2,5.8,7.2,13.6,59.3,Average,Pass
46.8,7.7,8.9,12.3,73.0,Good,Pass
38.9,7.7,7.2,17.7,75.6,Good,Pass
33.4,5.7,6.3,15.8,63.3,Average,Pass
38.6,5.9,6.9,14.5,64.8,Average,Pass
55.9,7.3,5.6,12.7,79.4,Good,Pass
57.2,5.3,7.7,14.5,85.7,Excellent,Pass
35.5,5.9,7.9,13.5,62.3,Average,Pass
36.5,6.6,10.0,11.7,65.6,Good,Pass
46.4,8.0,6.5,14.0,76.3,Good,Pass
25.7,5.6,6.9,14.3,51.3,Average,Pass
38.4,3.7,6.5,12.5,59.0,Average,Pass
34.5,3.6,7.5,16.1,62.5,Average,Pass
38.2,4.6,7.7,17.2,66.6,Good,Pass
25.8,4.5,7.1,16.3,54.1,Average,Pass
17.6,6.3,8.5,12.8,42.5,At Risk,Fail
12.4,4.7,6.5,15.7,38.8,At Risk,Fail
22.7,5.4,8.4,13.8,51.8,Average,Pass
29.8,5.3,7.8,10.1,54.4,Average,Pass
31.6,5.8,7.2,15.5,58.6,Average,Pass
55.7,8.5,6.8,14.0,82.7,Excellent,Pass
46.7,7.5,10.0,20.0,84.3,Excellent,Pass
24.4,6.5,6.2,17.7,56.0,Average,Pass
38.6,5.8,7.6,15.6,68.3,Good,Pass
30.4,5.9,6.3,14.3,55.8,Average,Pass
31.7,7.0,9.3,14.1,62.7,Average,Pass
36.8,7.4,8.3,10.8,66.2,Good,Pass
41.5,5.1,6.4,8.7,62.2,Average,Pass
31.1,6.6,7.8,11.2,53.4,Average,Pass
46.3,3.5,7.5,13.5,71.1,Good,Pass
22.5,6.8,6.6,7.7,47.7,At Risk,Fail
34.9,7.6,8.1,12.1,60.1,Average,Pass
60.0,6.1,7.7,12.9,86.7,Excellent,Pass
37.2,9.2,7.5,13.0,66.4,Good,Pass
50.3,5.2,7.1,11.7,74.5,Good,Pass
35.8,6.8,7.7,12.6,63.4,Average,Pass
41.1,6.4,7.5,18.4,75.7,Good,Pass
34.2,6.3,7.3,15.5,63.4,Average,Pass
33.0,6.3,6.4,12.0,60.3,Average,Pass
26.4,6.7,9.2,13.4,55.4,Average,Pass
39.4,7.8,5.9,13.5,66.0,Good,Pass
25.6,8.6,7.7,11.4,52.0,Average,Pass
42.0,6.5,6.8,11.4,63.1,Average,Pass
46.5,7.7,9.3,16.4,80.5,Excellent,Pass
38.8,5.4,6.1,12.4,66.9,Good,Pass
31.7,7.6,6.3,10.5,57.1,Average,Pass
39.7,5.4,6.0,13.5,65.9,Good,Pass
31.5,8.1,7.6,13.9,60.3,Average,Pass
44.9,9.8,5.6,8.1,67.9,Good,Pass
15.0,6.3,6.6,13.5,43.4,At Risk,Fail
31.2,3.2,4.6,16.0,59.1,Average,Pass
13.3,5.7,7.5,14.9,44.3,At Risk,Fail
18.7,8.3,6.6,19.8,55.1,Average,Pass
49.5,7.3,5.4,17.1,79.4,Good,Pass
44.5,6.9,8.5,17.7,77.9,Good,Pass
27.0,8.0,5.6,20.0,59.2,Average,Pass
18.6,7.2,8.2,15.7,46.8,At Risk,Fail
2.8,8.3,6.4,14.1,29.3,At Risk,Fail
28.9,7.9,9.1,16.3,62.4,Average,Pass
60.0,8.8,8.1,12.0,88.3,Excellent,Pass
39.5,7.0,6.0,13.9,63.5,Average,Pass
